Data;Classificacao;Descricao;Meio;Valor
28/10/2017;2.2.9 Outros;;DINHEIRO;18,08
26/10/2017;2.2.9 Outros;;DINHEIRO;30,06
22/10/2017;2.2.9 Outros;;DINHEIRO;24
18/10/2017;2.2.9 Outros;;DINHEIRO;45,77
05/10/2017;2.2.8 Bebidas;GUARANA;DINHEIRO;
12/10/2017;2.8.2 Tarifas Bancarias;Taxa de Cartao;DINHEIRO;10,88
12/10/2017;2.8 agua, Luz e Aluguel;conta;DINHEIRO;80
12/10/2017;2.8 agua, Luz e Aluguel;Aluguel do mes de Outubro ref. A Outubro;DINHEIRO;1090
12/10/2017;2.2 Reposicao Estoque;reposicao de insumos ;DINHEIRO;464,58
21/10/2017;2.8.1 Ambiente e Manutencao;papel higienico;DINHEIRO;5,49
20/10/2017;2.2.8 Bebidas;GUARANA;DINHEIRO;20,28
27/10/2017;2.2.5 Hortifrut;BATATA E AGUA;DINHEIRO;21,4
30/10/2017;2.8.2 Tarifas Bancarias;tava do cartao outubro;DINHEIRO;18,81
01/11/2017;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;100,13
03/11/2017;2.2.5 Hortifrut;REPOSIcaO DE ESTOQUE REFRI E BATATA;DINHEIRO;42,8
03/11/2017;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE AGUA E COCA;DINHEIRO;45,98
03/11/2017;2.8.1 Ambiente e Manutencao;QUADROS;DINHEIRO;195
06/11/2017;2.2.8 Bebidas;agua refri cerveja;DINHEIRO;83,04
08/11/2017;2.2.1 Carne;reposicao hamburguer;DINHEIRO;55,99
08/11/2017;2.2.8 Bebidas;chopp;DINHEIRO;90
09/11/2017;2.6.1 Gas de cozinha;gaz;DINHEIRO;70
09/11/2017;2.8.1 Ambiente e Manutencao;pintao para rodrigo;DINHEIRO;8,8
09/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;8,76
10/11/2017;2.8 agua, Luz e Aluguel;sabesp;DINHEIRO;40,33
10/11/2017;2.2 Reposicao Estoque;bebidas e comidas reposicao estoque;DINHEIRO;51,83
11/11/2017;2.2 Reposicao Estoque;bebidas e comidas reposicao estoque;DINHEIRO;51,57
10/11/2017;2.8.1 Ambiente e Manutencao;materiais para RPG lapís, papel, borra, apontador;DINHEIRO;21
11/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;4
12/11/2017;2.2.8 Bebidas;coca;DINHEIRO;112,8
12/11/2017;2.2.8 Bebidas;cerveja;DINHEIRO;57,41
12/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;5,16
14/11/2017;2.2.5 Hortifrut;batatas;DINHEIRO;32,4
14/11/2017;2.2.1 Carne;carne ham;DINHEIRO;42
15/11/2017;2.2.1 Carne;coisas para ham;DINHEIRO;27,2
15/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;9,6
15/11/2017;2.2.8 Bebidas;CERVEJA E AGUA;DINHEIRO;83,76
16/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;7,33
16/11/2017;2.2.8 Bebidas;refri suco e batata;DINHEIRO;59,76
16/11/2017;2.5 Compra de Jogos;crosmaster e manta;DINHEIRO;80
17/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;1,6
17/11/2017;2.5 Compra de Jogos;caca sim mestre;DINHEIRO;120
18/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;1,6
19/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;9,6
19/11/2017;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;83,92
19/11/2017;2.4.2 Diaria Funcionarios;DIARIA WILL;DINHEIRO;50
18/11/2017;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;35,5
22/11/2017;2.2.8 Bebidas;chopp;DINHEIRO;90
22/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;9,6
22/11/2017;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;23,58
23/11/2017;2.2.5 Hortifrut;batata refri bacon cebola tomate;DINHEIRO;50,28
23/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;9,6
24/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;4,8
24/11/2017;2.8 agua, Luz e Aluguel;aluguel do mes de novembro;DINHEIRO;1090
24/11/2017;2.2.1 Carne;carne ham;DINHEIRO;40
24/11/2017;2.2.5 Hortifrut;BATATA E AGUA;DINHEIRO;25,28
24/11/2017;2.2.5 Hortifrut;batata;DINHEIRO;31,6
25/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;3,2
25/11/2017;2.2.8 Bebidas;agua coca;DINHEIRO;12,5
26/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;3,8
27/11/2017;2.8 agua, Luz e Aluguel;energia;DINHEIRO;194,81
26/11/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;18,1
29/11/2017;2.2.8 Bebidas;coca;DINHEIRO;56,4
